Dataset Name,File Size (bytes),Rows,Columns,Memory Usage (bytes),Total Missing Values,Duplicate Rows,Earliest Timestamp,Latest Timestamp,Latitude Min,Latitude Max,Longitude Min,Longitude Max,Unique Stations,Number of Districts,Ahmedabad District Present,Audit Status,Audit Timestamp
gwl_tel_6_hourly_gujarat_sw_gw_gj_2021_2025_cleaned,1064350815,8820077,21,2732211656,82321695,0,2021-01-01T00:00:00,2025-12-31T18:00:00,20.1175,24.81730556,68.103226,74.4225,2575,34,True,WARNING,2026-07-31T02:06:46.492458
humid_tel_hr_gujarat_sw_gw_gj_2025_2025_cleaned,201829678,1206759,20,515191478,6737156,0,2025-01-01T00:00:00,2025-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,133,33,True,WARNING,2026-07-31T02:07:01.774798
humid_tele_hr_gujarat-sw-gw_gj_2021_2021_cleaned,207107106,1245281,20,441945997,6905193,0,2021-01-01T00:00:00,2021-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,131,33,True,WARNING,2026-07-31T02:07:14.885637
humid_tele_hr_gujarat-sw-gw_gj_2022_2022_cleaned,324697237,1930871,20,676614184,10706518,0,2022-01-01T00:00:00,2022-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,133,33,True,WARNING,2026-07-31T02:07:35.184467
humid_tele_hr_gujarat-sw-gw_gj_2023_2023_cleaned,302611461,1806851,20,769852222,10151000,0,2023-01-01T00:00:00,2023-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,133,33,True,WARNING,2026-07-31T02:07:53.697130
humid_tele_hr_gujarat-sw-gw_gj_2024_2024_cleaned,297501693,1775897,20,621746621,9979562,0,2024-01-01T00:00:00,2024-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,133,33,True,WARNING,2026-07-31T02:08:00.249545
rainfall_tel_hr_gujarat_sw_gw_gj_2021_2025_cleaned,127467265,851916,20,259105301,5620268,0,2021-01-04T18:00:00,2025-12-31T23:00:00,16.54206337,24.64620265,68.53733026,74.3223916,529,33,True,WARNING,2026-07-31T02:08:03.274100
rwl_tel_hr_gujarat_sw_gw_013_2021_2025_cleaned,276035260,1778082,23,585097198,10754180,0,2021-01-01T08:00:00,2025-12-31T23:45:00,22.23472222,24.29361111,71.45055556,73.60138889,31,10,True,WARNING,2026-07-31T02:08:09.823346
temperature 2021-2025_cleaned,1400657272,7964403,21,3122710239,44457861,0,2021-01-01T00:00:00,2025-12-31T23:00:00,20.19222222,24.38638889,68.82861111,74.30777778,133,33,True,WARNING,2026-07-31T02:08:48.659277
